Variação_Diária_(%),data
0.1938,2014-06-25
-0.0111,2014-06-26
0.0071,2014-06-27
0.0719,2014-06-30
0.2578,2014-07-01
0.0484,2014-07-02
0.1682,2014-07-03
-0.0991,2014-07-07
-0.0139,2014-07-08
-0.0624,2014-07-10
0.0149,2014-07-11
0.2454,2014-07-14
0.0069,2014-07-15
0.1106,2014-07-16
-0.1179,2014-07-17
0.3678,2014-07-18
0.1533,2014-07-21
0.308,2014-07-22
-0.0213,2014-07-23
-0.0254,2014-07-24
-0.0236,2014-07-25
-0.1143,2014-07-28
0.0013,2014-07-29
-0.0594,2014-07-30
-0.4129,2014-07-31
-0.134,2014-08-01
0.0421,2014-08-04
-0.4599,2014-08-05
0.0533,2014-08-06
-0.1695,2014-08-07
0.2983,2014-08-08
0.1476,2014-08-11
-0.0417,2014-08-12
0.1246,2014-08-13
0.1428,2014-08-14
0.2973,2014-08-15
0.2052,2014-08-18
0.1643,2014-08-19
-0.0437,2014-08-20
0.1077,2014-08-21
0.0678,2014-08-22
0.1244,2014-08-25
0.0397,2014-08-26
0.2378,2014-08-27
0.1185,2014-08-28
0.2912,2014-08-29
0.28,2014-09-02
-0.0737,2014-09-03
-0.05,2014-09-04
0.0293,2014-09-05
-0.2412,2014-09-08
-0.2278,2014-09-09
0.0616,2014-09-10
0.1868,2014-09-11
-0.3529,2014-09-12
0.1428,2014-09-15
0.2876,2014-09-16
0.1256,2014-09-17
0.0536,2014-09-18
-0.1318,2014-09-19
-0.3655,2014-09-22
-0.0381,2014-09-23
0.3097,2014-09-24
-0.393,2014-09-25
0.3247,2014-09-26
-0.5733,2014-09-29
0.1316,2014-09-30
-0.3404,2014-10-01
0.0276,2014-10-02
0.2708,2014-10-03
0.2637,2014-10-06
-0.0455,2014-10-07
0.3348,2014-10-08
-0.3908,2014-10-09
-0.2478,2014-10-10
-0.1097,2014-10-13
0.0758,2014-10-14
-0.3343,2014-10-15
-0.1891,2014-10-16
0.4843,2014-10-17
-0.0122,2014-10-20
0.1671,2014-10-21
-0.1579,2014-10-22
0.0234,2014-10-23
0.3227,2014-10-24
-0.3058,2014-10-27
0.4637,2014-10-28
-0.1487,2014-10-29
0.1412,2014-10-30
0.3277,2014-10-31
-0.1578,2014-11-03
-0.1957,2014-11-04
0.0915,2014-11-05
-0.1957,2014-11-06
-0.0688,2014-11-07
-0.0156,2014-11-10
-0.3087,2014-11-11
-0.1575,2014-11-12
-0.25,2014-11-13
0.0271,2014-11-14
-0.027,2014-11-17
0.1519,2014-11-18
0.0086,2014-11-19
0.5891,2014-11-21
0.3889,2014-11-25
0.2227,2014-11-26
0.0672,2014-11-28
-0.3775,2014-12-01
0.0065,2014-12-02
-0.1058,2014-12-03
-0.008,2014-12-04
0.105,2014-12-05
-0.3518,2014-12-08
-0.1122,2014-12-09
-0.3627,2014-12-10
-0.0477,2014-12-11
-0.5089,2014-12-12
-0.226,2014-12-15
-0.6782,2014-12-16
0.6226,2014-12-17
0.7047,2014-12-18
0.2381,2014-12-19
0.1007,2014-12-22
0.143,2014-12-23
0.224,2014-12-26
0.0541,2014-12-29
0.0938,2014-12-30
0.0916,2015-01-02
-0.1858,2015-01-05
-0.131,2015-01-06
0.3079,2015-01-07
0.4,2015-01-08
0.0545,2015-01-09
-0.1701,2015-01-12
0.065,2015-01-13
-0.0606,2015-01-14
0.1572,2015-01-15
0.4976,2015-01-16
0.1034,2015-01-20
0.1249,2015-01-21
0.3757,2015-01-22
-0.0122,2015-01-23
0.0097,2015-01-26
-0.3261,2015-01-27
-0.33,2015-01-28
0.2486,2015-01-29
-0.3519,2015-01-30
0.1267,2015-02-02
0.4254,2015-02-03
-0.2044,2015-02-04
0.1129,2015-02-05
-0.1391,2015-02-06
-0.253,2015-02-09
0.025,2015-02-10
-0.1523,2015-02-11
0.4968,2015-02-12
0.1104,2015-02-13
-0.0074,2015-02-18
-0.0407,2015-02-19
-0.0259,2015-02-20
0.1576,2015-02-23
0.2806,2015-02-24
-0.1051,2015-02-25
0.1381,2015-02-26
0.2023,2015-02-27
-0.0926,2015-03-02
-0.1855,2015-03-03
-0.27,2015-03-04
-0.1047,2015-03-05
-0.3959,2015-03-06
-0.2245,2015-03-09
-0.4335,2015-03-10
0.0272,2015-03-11
0.0985,2015-03-12
-0.1749,2015-03-13
0.1057,2015-03-16
0.1833,2015-03-17
0.4273,2015-03-18
-0.3071,2015-03-19
0.2509,2015-03-20
0.0317,2015-03-23
-0.1154,2015-03-24
-0.2222,2015-03-25
-0.069,2015-03-26
0.1584,2015-03-27
0.3616,2015-03-30
0.0973,2015-03-31
0.2474,2015-04-01
0.1321,2015-04-02
0.2873,2015-04-06
0.0405,2015-04-07
0.293,2015-04-08
0.0197,2015-04-09
0.2398,2015-04-10
-0.1369,2015-04-13
0.1033,2015-04-14
0.3161,2015-04-15
-0.0316,2015-04-16
-0.2948,2015-04-17
0.1338,2015-04-20
0.1866,2015-04-22
0.1894,2015-04-23
0.068,2015-04-24
0.0482,2015-04-27
0.0694,2015-04-28
0.1032,2015-04-29
-0.2084,2015-04-30
0.2437,2015-05-04
-0.1001,2015-05-05
0.0491,2015-05-06
-0.0254,2015-05-07
0.4617,2015-05-08
-0.0955,2015-05-11
-0.0484,2015-05-12
0.0836,2015-05-13
0.3658,2015-05-14
0.2097,2015-05-15
-0.0098,2015-05-18
-0.0117,2015-05-19
0.0944,2015-05-20
0.1754,2015-05-21
0.1164,2015-05-22
-0.2921,2015-05-26
0.2095,2015-05-27
0.0763,2015-05-28
-0.059,2015-05-29
0.05,2015-06-01
-0.0093,2015-06-02
0.0758,2015-06-03
-0.1181,2015-06-05
-0.0886,2015-06-08
0.0588,2015-06-09
0.1544,2015-06-10
-0.0266,2015-06-11
-0.0132,2015-06-12
-0.1528,2015-06-15
0.2741,2015-06-16
0.1692,2015-06-17
0.4011,2015-06-18
-0.1927,2015-06-19
0.3125,2015-06-22
0.0264,2015-06-23
-0.0998,2015-06-24
-0.156,2015-06-25
0.1163,2015-06-26
-0.3797,2015-06-29
0.2311,2015-06-30
0.2305,2015-07-01
0.1947,2015-07-02
-0.0841,2015-07-06
0.248,2015-07-07
-0.2772,2015-07-08
0.3765,2015-07-10
0.3325,2015-07-13
0.1108,2015-07-14
0.1129,2015-07-15
0.182,2015-07-16
0.0542,2015-07-17
0.0881,2015-07-20
0.0393,2015-07-21
-0.0728,2015-07-22
-0.6139,2015-07-23
-0.3709,2015-07-24
-0.0622,2015-07-27
0.1987,2015-07-28
0.1927,2015-07-29
0.2156,2015-07-30
0.114,2015-07-31
-0.1561,2015-08-03
-0.1583,2015-08-04
-0.1145,2015-08-05
-0.7045,2015-08-06
-0.207,2015-08-07
0.4747,2015-08-10
-0.1103,2015-08-11
0.1838,2015-08-12
-0.0385,2015-08-13
0.0839,2015-08-14
0.0972,2015-08-17
-0.0695,2015-08-18
-0.1939,2015-08-19
-0.3187,2015-08-20
-0.7104,2015-08-21
-0.9829,2015-08-24
-0.3133,2015-08-25
0.9359,2015-08-26
0.7008,2015-08-27
0.0672,2015-08-28
-0.4296,2015-08-31
-0.9078,2015-09-01
0.0838,2015-09-02
0.0901,2015-09-03
-0.5893,2015-09-04
0.6669,2015-09-08
-0.3438,2015-09-09
-0.4104,2015-09-10
0.046,2015-09-11
0.0837,2015-09-14
0.3729,2015-09-15
0.1769,2015-09-16
-0.0842,2015-09-17
